workflow_id,display_name,version,active,classifications_count,pairwise,grouped,prioritized,primary_language,first_task,tutorial_subject_id,retired_set_member_subjects_count,tasks,retirement,strings,minor_version
26267,Describe Photographs,1,true,927,false,false,false,en,"",,300,{},"{""options"":{""count"":3},""criteria"":""classification_count""}",{},1
26267,Describe Photographs,2,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":false,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Enter an instruction.""}",2
26267,Describe Photographs,3,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Enter an instruction.""}",2
26267,Describe Photographs,4,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":false,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Enter an instruction.""}",2
26267,Describe Photographs,5,true,927,false,false,false,en,"",,300,{},"{""options"":{""count"":3},""criteria"":""classification_count""}",{},3
26267,Describe Photographs,6,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":false,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Enter an instruction.""}",4
26267,Describe Photographs,6,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":false,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Please look at the photograph and describe the front""}",5
26267,Describe Photographs,7,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Please look at the photograph and describe the front""}",5
26267,Describe Photographs,7,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Please look at the photograph and describe the image located on the front. \n\n""}",6
26267,Describe Photographs,7,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Help us by looking at the photograph and writing a description of what you see in the text box below. \n\n""}",7
26267,Describe Photographs,7,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nPlease do not describe any text found on the photographs - you can \n\n""}",8
26267,Describe Photographs,7,true,927,false,false,false,en,T0,,300,"{""T0"":{""help"":""T0.help"",""type"":""text"",""required"":true,""instruction"":""T0.instruction""}}","{""options"":{""count"":3},""criteria"":""classification_count""}","{""T0.help"":"""",""T0.instruction"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nPlease do not describe any text found on the photographs - we only want descriptions of the images.\n\n""}",9
